Geneid	LdNA_IDs	blast_annotation
LDECv5g00078	LdNA_2946	Lipase 1; Drosophila melanogaster 
LDECv5g00079	LdNA_2947	Lipase member K; Mus musculus 
LDECv5g00080	LdNA_2950	-
LDECv5g00082	LdNA_2959	-
LDECv5g00083	LdNA_2961	UDP-glucosyltransferase 2; Dactylopius coccus 
LDECv5g00084	LdNA_2963	-
LDECv5g00085	LdNA_2966	-
LDECv5g00086	LdNA_2993	von Willebrand factor A domain-containing protein 8; Danio rerio 
LDECv5g00087	LdNA_2995	"Aldehyde dehydrogenase, mitochondrial; Mus musculus "
LDECv5g00088	LdNA_2996	Dolichol kinase; Mus musculus 
LDECv5g00089	LdNA_2997	Myotubularin-related protein 10-A; Xenopus laevis 
LDECv5g00090	LdNA_2998	Alpha-tocopherol transfer protein; Rattus norvegicus 
LDECv5g00091	LdNA_2976	Protein polybromo-1; Gallus gallus 
LDECv5g00092	LdNA_3000	Torsin-1B; Mus musculus 
LDECv5g00093	LdNA_3001	-
LDECv5g00094	LdNA_3002	Nucleoporin Ndc1; Drosophila pseudoobscura pseudoobscura 
LDECv5g00095	LdNA_3003	Ras-related protein Rab-11A; Rattus norvegicus 
LDECv5g00096	LdNA_3004	Serine/threonine-protein kinase LATS1; Homo sapiens 
LDECv5g00097	LdNA_3005	Protein NDUFAF4 homolog; Drosophila melanogaster 
LDECv5g00098	LdNA_3006	Polycomb protein EED; Gallus gallus 
LDECv5g00099	LdNA_3007	WD repeat-containing protein 36; Homo sapiens 
LDECv5g00100	LdNA_3008	-
LDECv5g00101	LdNA_3009	Mitochondrial pyruvate carrier 1; Rattus norvegicus 
LDECv5g00102	LdNA_2838	Pyrokinin-1 receptor; Drosophila melanogaster 
LDECv5g00103	LdNA_2837	Pyrokinin-1 receptor; Drosophila melanogaster 
LDECv5g00104	LdNA_2834	Odorant receptor 94b; Drosophila melanogaster 
LDECv5g00105	LdNA_2833	"Glutaryl-CoA dehydrogenase, mitochondrial; Homo sapiens "
LDECv5g00106	LdNA_2832	Coiled-coil domain-containing protein 130 homolog; Drosophila melanogaster 
LDECv5g00107	LdNA_2831	Integrator complex subunit 7; Gallus gallus 
LDECv5g00108	LdNA_2830	Molybdenum cofactor biosynthesis protein 1; Drosophila melanogaster 
LDECv5g00109	LdNA_2829	Probable pseudouridine-5'-phosphatase; Drosophila melanogaster 
LDECv5g00110	LdNA_2828	Cathepsin L; Sarcophaga peregrina 
LDECv5g00111	LdNA_2827	Cathepsin L-like proteinase; Phaedon cochleariae 
LDECv5g00112	LdNA_2826	Cathepsin L; Drosophila melanogaster 
LDECv5g00114	LdNA_2825	RING finger protein 17; Macaca fascicularis 
LDECv5g00115	LdNA_2824	Protein pitchfork; Bos taurus 
LDECv5g00117	LdNA_2822	U-scoloptoxin(01)-Er1a; Ethmostigmus rubripes 
LDECv5g00119	LdNA_2821	-
LDECv5g00120	LdNA_2814	-
LDECv5g00123	LdNA_2808	E3 ubiquitin-protein ligase RNF181; Xenopus laevis 
LDECv5g00124	LdNA_2807	Proclotting enzyme; Tachypleus tridentatus 
LDECv5g00125	LdNA_2806	Acyl-CoA Delta-9 desaturase; Acheta domesticus 
LDECv5g00126	LdNA_2805	Organic cation transporter protein; Drosophila melanogaster 
LDECv5g00127	LdNA_2802	Intermembrane lipid transfer protein VPS13C; Mus musculus 
LDECv5g00128	LdNA_2801	TWiK family of potassium channels protein 18; Caenorhabditis elegans 
LDECv5g00129	LdNA_2800	Mitochondrial protein C2orf69 homolog; Mus musculus 
LDECv5g00130	LdNA_2799	Pre-mRNA-splicing factor 38B; Danio rerio 
LDECv5g00131	LdNA_2798	Probable E3 ubiquitin-protein ligase HERC1; Homo sapiens 
LDECv5g00132	LdNA_2797	-
LDECv5g00133	LdNA_2796	Cyclic AMP-responsive element-binding protein 3-like protein 4; Rattus norvegicus 
LDECv5g00134	LdNA_2795	Cobalamin trafficking protein CblD; Rattus norvegicus 
LDECv5g00135	LdNA_2794	Autophagy protein 5; Drosophila melanogaster 
LDECv5g00136	LdNA_2793	-
LDECv5g00137	LdNA_2792	Probable ATP-dependent RNA helicase pitchoune; Drosophila melanogaster 
LDECv5g00138	LdNA_2786	Protein held out wings; Drosophila melanogaster 
LDECv5g00139	LdNA_2785	Vacuolar protein sorting-associated protein 72 homolog; Drosophila melanogaster 
LDECv5g00140	LdNA_2784	-
LDECv5g00141	LdNA_2783	E3 ubiquitin-protein ligase RNF130; Mus musculus 
LDECv5g00142	LdNA_2782	Alcohol-sensitive RING finger protein 1; Ashbya gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) 
LDECv5g00143	LdNA_2781	-
LDECv5g00144	LdNA_2780	Protein disulfide-isomerase A3; Gallus gallus 
LDECv5g00145	LdNA_2778	Solute carrier family 35 member F3; Homo sapiens 
LDECv5g00146	LdNA_2779	ADP-ribosylation factor 2; Drosophila melanogaster 
LDECv5g00147	LdNA_2777	Thioredoxin domain-containing protein 5 homolog; Drosophila melanogaster 
LDECv5g00148	LdNA_2776	Glucosidase 2 subunit beta; Homo sapiens 
LDECv5g00149	LdNA_2775	ADAM 17-like protease; Drosophila melanogaster 
LDECv5g00150	LdNA_2774	Protein N-lysine methyltransferase METTL21D; Mus musculus 
LDECv5g00151	LdNA_2773	Androgen-dependent TFPI-regulating protein; Mesocricetus auratus 
LDECv5g00153	LdNA_2771	Retinoid-inducible serine carboxypeptidase; Homo sapiens 
LDECv5g00154	LdNA_2770	Retinoid-inducible serine carboxypeptidase; Homo sapiens 
LDECv5g00155	LdNA_2769	Acetylcholine receptor subunit alpha-like 1; Drosophila melanogaster 
LDECv5g00156	LdNA_2767	-
LDECv5g00157	LdNA_2766	-
LDECv5g00158	LdNA_2765	Ragulator complex protein LAMTOR3; Homo sapiens 
LDECv5g00159	LdNA_2764	-
LDECv5g00160	LdNA_2763	-
LDECv5g00161	LdNA_2762	-
LDECv5g00162	LdNA_2760	-
LDECv5g00163	LdNA_2759	-
LDECv5g00164	LdNA_2758	-
LDECv5g00165	LdNA_2757	Fizzy-related protein homolog; Mus musculus 
LDECv5g00166	LdNA_2756	Ubiquitin-associated protein 1; Rattus norvegicus 
LDECv5g00167	LdNA_2755	Ras-like protein 1; Drosophila pseudoobscura pseudoobscura 
LDECv5g00168	LdNA_2754	DENN domain-containing protein Crag; Drosophila melanogaster 
LDECv5g00169	LdNA_2753	Tubulin-specific chaperone A; Rattus norvegicus 
LDECv5g00170	LdNA_2752	Programmed cell death protein 7; Mus musculus 
LDECv5g00171	LdNA_2751	-
LDECv5g00172	LdNA_2750	-
LDECv5g00173	LdNA_2749	Mortality factor 4-like protein 1; Rattus norvegicus 
LDECv5g00174	LdNA_2748	INO80 complex subunit B; Homo sapiens 
LDECv5g00176	LdNA_2747	-
LDECv5g00177	LdNA_2744	Neprilysin-2; Drosophila melanogaster 
LDECv5g00178	LdNA_2743	Venom carboxylesterase-6; Apis mellifera 
LDECv5g00180	LdNA_2742	Venom carboxylesterase-6; Apis mellifera 
LDECv5g00181	LdNA_2741	Venom carboxylesterase-6; Apis mellifera 
LDECv5g00182	LdNA_2740	Putative inorganic phosphate cotransporter; Drosophila melanogaster 
LDECv5g00183	LdNA_2739	Ankyrin repeat domain-containing protein 50; Homo sapiens 
LDECv5g00184	LdNA_2727	-
LDECv5g00185	LdNA_2726	-
LDECv5g00186	LdNA_2725	-
LDECv5g00188	LdNA_2714	Juvenile hormone esterase; Tribolium castaneum 
LDECv5g00189	LdNA_2711	-
LDECv5g00190	LdNA_2708	Solute carrier family 22 member 13; Homo sapiens 
LDECv5g00191	LdNA_2706	Solute carrier family 22 member 3; Rattus norvegicus 
LDECv5g00193	LdNA_2701	Nidogen-2; Homo sapiens 
LDECv5g00194	LdNA_2700	Macrophage mannose receptor 1; Homo sapiens 
LDECv5g00195	LdNA_2698	-
LDECv5g00196	LdNA_2697	Macrophage mannose receptor 1; Homo sapiens 
LDECv5g00197	LdNA_2695	Macrophage mannose receptor 1; Mus musculus 
LDECv5g00199	LdNA_2692	Piercer of microtubule wall 1 protein; Homo sapiens 
LDECv5g00200	LdNA_2690	-
LDECv5g00201	LdNA_2689	-
LDECv5g00203	LdNA_2687	-
LDECv5g00205	LdNA_2671	-
LDECv5g00206	LdNA_2667	Testis-specific serine/threonine-protein kinase 1; Bos taurus 
LDECv5g00207	LdNA_2660	A disintegrin and metalloproteinase with thrombospondin motifs 12; Homo sapiens 
LDECv5g00208	LdNA_2659	A disintegrin and metalloproteinase with thrombospondin motifs 7; Homo sapiens 
LDECv5g00209	LdNA_2658	-
LDECv5g00210	LdNA_2657	Pleiotropic regulator 1; Homo sapiens 
LDECv5g00211	LdNA_2656	Small ribosomal subunit protein uS3m; Drosophila melanogaster 
LDECv5g00212	LdNA_2655	-
LDECv5g00213	LdNA_2654	E3 ubiquitin-protein ligase SHPRH; Mus musculus 
LDECv5g00214	LdNA_2653	2-acylglycerol O-acyltransferase 1; Bos taurus 
LDECv5g00215	LdNA_2651	Kynurenine 3-monooxygenase; Danio rerio 
LDECv5g00216	LdNA_2650	Putative protein disulfide-isomerase C1F5.02; Schizosaccharomyces pombe (strain 972 / ATCC 24843) 
LDECv5g00218	LdNA_2649	Protein unc-13 homolog B; Mus musculus 
LDECv5g00219	LdNA_2648	-
LDECv5g00220	LdNA_2645	CTP synthase; Drosophila pseudoobscura pseudoobscura 
LDECv5g00221	LdNA_2644	Myosin heavy chain 95F; Drosophila melanogaster 
LDECv5g00222	LdNA_2643	RNA polymerase II elongation factor Ell; Drosophila melanogaster 
LDECv5g00225	LdNA_2640	-
LDECv5g00226	LdNA_2637	Serine/threonine-protein kinase PAK 1; Rattus norvegicus 
LDECv5g00227	LdNA_2636	KAT8 regulatory NSL complex subunit 1; Mus musculus 
LDECv5g00228	LdNA_2634	Membrane alanyl aminopeptidase (Fragment); Manduca sexta 
LDECv5g00236	LdNA_2625	Carboxypeptidase Q; Xenopus laevis 
LDECv5g00237	LdNA_2622	Ecdysone-induced protein 74EF isoform A; Drosophila melanogaster 
LDECv5g00238	LdNA_2617	-
LDECv5g00239	LdNA_2616	U7 snRNA-associated Sm-like protein LSm11; Xenopus laevis 
LDECv5g00240	LdNA_2611	Solute carrier family 22 member 3; Rattus norvegicus 
LDECv5g00241	LdNA_2610	BarH-like 2 homeobox protein; Mus musculus 
LDECv5g00242	LdNA_2609	Serine/threonine-protein kinase mos; Patiria pectinifera 
LDECv5g00243	LdNA_2608	Large ribosomal subunit protein mL46; Rattus norvegicus 
LDECv5g00244	LdNA_2607	Carboxypeptidase N subunit 2; Mus musculus 
LDECv5g00245	LdNA_2602	-
LDECv5g00246	LdNA_2599	Anaphase-promoting complex subunit 1; Mus musculus 
LDECv5g00247	LdNA_2595	Muscarinic acetylcholine receptor gar-2; Caenorhabditis elegans 
LDECv5g00248	LdNA_2594	-
LDECv5g00249	LdNA_2592	Bardet-Biedl syndrome 5 protein homolog; Danio rerio 
LDECv5g00250	LdNA_2591	-
LDECv5g00251	LdNA_2590	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha; Bos taurus 
LDECv5g00252	LdNA_2589	Centrosome-associated zinc finger protein CP190; Drosophila melanogaster 
LDECv5g00253	LdNA_2588	Protein CREBRF homolog; Drosophila melanogaster 
LDECv5g00254	LdNA_2582	-
LDECv5g00255	LdNA_2578	-
LDECv5g00256	LdNA_2577	-
LDECv5g00257	LdNA_2574	-
LDECv5g00258	LdNA_2571	-
LDECv5g00259	LdNA_2570	-
LDECv5g00260	LdNA_2568	-
LDECv5g00261	LdNA_2562	-
LDECv5g00262	LdNA_2560	-
LDECv5g00263	LdNA_2550	Kv channel-interacting protein 4; Bos taurus 
LDECv5g00264	LdNA_2548	-
LDECv5g00265	LdNA_2547	Fanconi-associated nuclease 1; Ailuropoda melanoleuca 
LDECv5g00266	LdNA_2546	Nuclear exosome regulator NRDE2; Mus musculus 
LDECv5g00267	LdNA_2545	Glucosidase 2 subunit beta; Mus musculus 
LDECv5g00268	LdNA_2544	Eukaryotic translation initiation factor 2 subunit 3; Drosophila melanogaster 
LDECv5g00269	LdNA_2543	Protein downstream neighbor of son homolog; Drosophila melanogaster 
LDECv5g00270	LdNA_2542	CAAX prenyl protease 1 homolog; Homo sapiens 
LDECv5g00271	LdNA_2541	Nuclear pore complex protein Nup107; Mus musculus 
LDECv5g00272	LdNA_2540	Cullin-5; Homo sapiens 
LDECv5g00273	LdNA_2539	"ATP synthase subunit O, mitochondrial; Drosophila melanogaster "
LDECv5g00274	LdNA_2535	Syntaxin-binding protein 5; Homo sapiens 
LDECv5g00275	LdNA_2537	-
LDECv5g00276	LdNA_2529	Oxygen-dependent coproporphyrinogen-III oxidase; Drosophila melanogaster 
LDECv5g00277	LdNA_2528	Probable ATP-dependent RNA helicase DDX10; Mus musculus 
LDECv5g00278	LdNA_2527	Tubulin-folding cofactor B; Mus musculus 
LDECv5g00279	LdNA_2526	-
LDECv5g00280	LdNA_2525	Insulin-degrading enzyme; Homo sapiens 
LDECv5g00281	LdNA_2524	Protein Spindly; Macaca fascicularis 
LDECv5g00282	LdNA_2523	Aldehyde dehydrogenase family 16 member A1; Rattus norvegicus 
LDECv5g00283	LdNA_2521	Cytochrome c oxidase assembly protein COX15 homolog; Mus musculus 
LDECv5g00284	LdNA_2522	Tektin-1; Homo sapiens 
LDECv5g00285	LdNA_2520	Ubiquitin domain-containing protein 2; Bos taurus 
LDECv5g00286	LdNA_2519	"Sulfite oxidase, mitochondrial; Drosophila melanogaster "
LDECv5g00287	LdNA_2518	"Sulfite oxidase, mitochondrial; Drosophila melanogaster "
LDECv5g00288	LdNA_2517	Protein preli-like; Drosophila melanogaster 
LDECv5g00289	LdNA_2516	Glutamine synthetase; Homo sapiens 
LDECv5g00290	LdNA_2515	V-type proton ATPase subunit e 2; Homo sapiens 
LDECv5g00291	LdNA_2514	"Probable proline--tRNA ligase, mitochondrial; Rattus norvegicus "
LDECv5g00292	LdNA_2513	Protein phosphatase 1 regulatory subunit 36; Mus musculus 
LDECv5g00293	LdNA_2512	Protein ARV1; Bos taurus 
LDECv5g00295	LdNA_2511	Cytoplasmic dynein 2 intermediate chain 2; Homo sapiens 
LDECv5g00296	LdNA_2504	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial; Mus musculus "
LDECv5g00297	LdNA_2503	Protein neuralized; Drosophila melanogaster 
LDECv5g00298	LdNA_2500	-
LDECv5g00299	LdNA_2497	-
LDECv5g00300	LdNA_2490	Cytokine receptor-like factor 3; Mus musculus 
LDECv5g00301	LdNA_2489	-
LDECv5g00302	LdNA_2488	Putative helicase mov-10-B.1; Danio rerio 
LDECv5g00303	LdNA_2487	Replication termination factor 2; Bos taurus 
LDECv5g00304	LdNA_2486	Sodium leak channel NALCN; Rattus norvegicus 
LDECv5g00305	LdNA_2485	DNA topoisomerase 2-binding protein 1-A; Xenopus laevis 
LDECv5g00306	LdNA_2484	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2; Homo sapiens 
LDECv5g00307	LdNA_2483	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2; Homo sapiens 
LDECv5g00308	LdNA_2448	-
LDECv5g00309	LdNA_2447	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1; Rattus norvegicus "
LDECv5g00310	LdNA_2446	INO80 complex subunit C; Homo sapiens 
LDECv5g00311	LdNA_2445	MORN repeat-containing protein 4 homolog; Drosophila melanogaster 
LDECv5g00312	LdNA_2444	Arylalkylamine N-acetyltransferase 1; Drosophila melanogaster 
LDECv5g00313	LdNA_2443	Carboxypeptidase E; Lophius americanus 
LDECv5g00314	LdNA_2442	U1 small nuclear ribonucleoprotein C; Anopheles darlingi 
LDECv5g00315	LdNA_2441	U1 small nuclear ribonucleoprotein C; Aedes aegypti 
LDECv5g00317	LdNA_2439	Actin-binding protein WASF1; Bos taurus 
LDECv5g00318	LdNA_2433	-
LDECv5g00319	LdNA_2432	-
LDECv5g00320	LdNA_2420	Forkhead box protein O; Drosophila virilis 
LDECv5g00321	LdNA_2418	DnaJ homolog subfamily C member 8; Rattus norvegicus 
LDECv5g00322	LdNA_2414	Synaptotagmin-like protein 3; Mus musculus 
LDECv5g00323	LdNA_2417	-
LDECv5g00324	LdNA_2415	Thaumatin-like protein 1; Prunus persica 
LDECv5g00325	LdNA_2412	-
LDECv5g00326	LdNA_2411	Vacuolar protein sorting-associated protein 33B; Danio rerio 
LDECv5g00327	LdNA_2410	Histone-lysine N-methyltransferase ash1; Drosophila melanogaster 
LDECv5g00328	LdNA_2407	Kinesin-like protein KIF3A; Homo sapiens 
LDECv5g00329	LdNA_2401	-
LDECv5g00330	LdNA_2400	-
LDECv5g00331	LdNA_2395	-
LDECv5g00332	LdNA_2392	-
LDECv5g00333	LdNA_2379	Pyruvate kinase; Drosophila melanogaster 
LDECv5g00334	LdNA_2378	Protein disulfide-isomerase A5; Mus musculus 
LDECv5g00335	LdNA_2374	-
LDECv5g00336	LdNA_2372	Transmembrane protein 181; Homo sapiens 
LDECv5g00337	LdNA_2371	Probable phosphoserine aminotransferase; Drosophila melanogaster 
LDECv5g00340	LdNA_2370	Protein PRRC2A; Rattus norvegicus 
LDECv5g00341	LdNA_2369	WD40 repeat-containing protein SMU1; Gallus gallus 
LDECv5g00342	LdNA_2368	Mediator of RNA polymerase II transcription subunit 4; Anopheles gambiae 
LDECv5g00343	LdNA_2366	-
LDECv5g00344	LdNA_2363	Laccase-2; Fomitopsis schrenkii 
LDECv5g00345	LdNA_2362	-
LDECv5g00346	LdNA_2360	Laccase-2; Fomitopsis schrenkii 
LDECv5g00348	LdNA_2358	Short neuropeptide F; Anopheles gambiae 
LDECv5g00349	LdNA_2357	Zinc finger protein GFI1 homolog pag-3; Caenorhabditis elegans 
LDECv5g00350	LdNA_2356	Male-specific lethal 3 homolog; Homo sapiens 
LDECv5g00351	LdNA_2355	Transcription initiation factor TFIID subunit 13; Pongo abelii 
LDECv5g00352	LdNA_2354	Protoporphyrinogen oxidase; Bos taurus 
LDECv5g00353	LdNA_2353	Coiled-coil domain-containing protein 40; Mus musculus 
LDECv5g00354	LdNA_2350	Protein dissatisfaction; Drosophila melanogaster 
LDECv5g00355	LdNA_2349	-
LDECv5g00356	LdNA_2348	Phenylalanine--tRNA ligase beta subunit; Drosophila melanogaster 
LDECv5g00357	LdNA_2347	Inosine triphosphate pyrophosphatase; Drosophila melanogaster 
LDECv5g00358	LdNA_2346	-
LDECv5g00359	LdNA_2345	Neuropathy target esterase sws; Drosophila melanogaster 
LDECv5g00360	LdNA_2344	Histone-lysine N-methyltransferase SMYD3; Mus musculus 
LDECv5g00361	LdNA_2343	KAT8 regulatory NSL complex subunit 3; Mus musculus 
LDECv5g00362	LdNA_2342	Heterogeneous nuclear ribonucleoprotein H; Mus musculus 
LDECv5g00365	LdNA_2341	RNA-binding protein 1; Drosophila melanogaster 
LDECv5g00366	LdNA_2340	Beta-galactosidase-1-like protein 3; Homo sapiens 
LDECv5g00367	LdNA_2339	Peroxidase; Drosophila melanogaster 
LDECv5g00368	LdNA_2337	Splicing factor 3A subunit 1; Homo sapiens 
LDECv5g00369	LdNA_2336	tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like; Mus musculus 
LDECv5g00370	LdNA_2334	Synaptic vesicle glycoprotein 2B; Homo sapiens 
LDECv5g00371	LdNA_2335	Membrane-associated transporter protein; Mus musculus 
LDECv5g00372	LdNA_2333	Homeobox protein ceh-19; Caenorhabditis elegans 
LDECv5g00373	LdNA_2330	Delta-1-pyrroline-5-carboxylate synthase; Mus musculus 
LDECv5g00375	LdNA_2328	Cancer-related nucleoside-triphosphatase homolog; Bos taurus 
LDECv5g00377	LdNA_2319	Dopamine receptor 2; Drosophila melanogaster 
LDECv5g00378	LdNA_2317	Tetraspanin-5; Bos taurus 
LDECv5g00379	LdNA_2316	Bumetanide-sensitive sodium-(potassium)-chloride cotransporter; Manduca sexta 
LDECv5g00380	LdNA_2315	Sulfotransferase 1E1; Bos taurus 
LDECv5g00381	LdNA_2314	Receptor-type tyrosine-protein phosphatase kappa; Homo sapiens 
LDECv5g00382	LdNA_2311	Microtubule-associated protein futsch; Drosophila melanogaster 
LDECv5g00383	LdNA_2306	-
LDECv5g00384	LdNA_2305	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2; Mus musculus 
LDECv5g00385	LdNA_2304	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4; Rattus norvegicus 
LDECv5g00386	LdNA_2303	Myogenesis-regulating glycosidase; Mus musculus 
LDECv5g00387	LdNA_2302	DNA helicase MCM9; Gallus gallus 
LDECv5g00388	LdNA_2301	Protein asteroid homolog 1; Homo sapiens 
LDECv5g00391	LdNA_2297	Homeobox protein extradenticle; Anopheles gambiae 
LDECv5g00392	LdNA_2296	Thyroid adenoma-associated protein homolog; Chlorocebus aethiops 
LDECv5g00393	LdNA_2295	Zinc finger CCCH-type with G patch domain-containing protein; Anopheles gambiae 
LDECv5g00394	LdNA_2294	Protein TEX261; Homo sapiens 
LDECv5g00395	LdNA_2293	Intraflagellar transport protein 46 homolog; Danio rerio 
LDECv5g00396	LdNA_2291	-
LDECv5g00397	LdNA_2284	Apical junction component 1 homolog; Homo sapiens 
LDECv5g00399	LdNA_2281	-
LDECv5g00400	LdNA_2279	F-box/LRR-repeat protein 6; Homo sapiens 
LDECv5g00401	LdNA_2277	E3 ubiquitin-protein ligase UBR4; Mus musculus 
LDECv5g00402	LdNA_2275	Protein vav; Drosophila melanogaster 
LDECv5g00404	LdNA_2267	Phosrestin-1; Drosophila melanogaster 
LDECv5g00405	LdNA_2260	Sex-regulated protein janus-A; Drosophila pseudoobscura pseudoobscura 
LDECv5g00406	LdNA_2262	Phosrestin-2; Drosophila melanogaster 
LDECv5g00407	LdNA_2259	"Pseudouridylate synthase TRUB2, mitochondrial; Homo sapiens "
LDECv5g00408	LdNA_2257	-
LDECv5g00409	LdNA_2255	-
LDECv5g00410	LdNA_2254	Midasin; Giardia intestinalis 
LDECv5g00412	LdNA_2251	-
LDECv5g00413	LdNA_2248	-
LDECv5g00414	LdNA_2247	-
LDECv5g00416	LdNA_2245	-
LDECv5g00419	LdNA_2241	-
LDECv5g00420	LdNA_2238	-
LDECv5g00423	LdNA_2235	Histone deacetylase complex subunit SAP18; Drosophila melanogaster 
LDECv5g00422	LdNA_2234	Luciferin 4-monooxygenase; Photuris pensylvanica 
LDECv5g00424	LdNA_2233	Large ribosomal subunit protein mL65; Bos taurus 
LDECv5g00425	LdNA_2230	Mothers against decapentaplegic homolog 6; Homo sapiens 
LDECv5g00426	LdNA_2229	Xylulose kinase; Homo sapiens 
LDECv5g00427	LdNA_2228	Peroxidase; Drosophila melanogaster 
