Ldecemlineata	Tcastaneum
LDECv5g03886	TC031494
LDECv5g03905	TC010878
LDECv5g03938	TC030076
LDECv5g03954	TC004726
LDECv5g03960	TC004798
LDECv5g03995	TC014225
LDECv5g03997	TC013581
LDECv5g04009	TC004615
LDECv5g04010	TC010883
LDECv5g04015	TC004654
LDECv5g04025	TC004616
LDECv5g04040	TC014241
LDECv5g04042	TC031501
LDECv5g04046	TC031516
LDECv5g04047	TC004611
LDECv5g04051	TC013567
LDECv5g04097	TC012311
LDECv5g04127	TC013566
LDECv5g04129	TC010870
LDECv5g04142	TC033243
LDECv5g04217	TC033410
LDECv5g04253	TC033310
LDECv5g04275	TC015958
LDECv5g04279	TC033450
LDECv5g04297	TC014393
LDECv5g04298	TC008316
LDECv5g04322	TC030773
LDECv5g04402	TC033397
LDECv5g04404	TC006094
LDECv5g04425	TC015822
LDECv5g04426	TC030914
LDECv5g04460	TC015535
LDECv5g04524	TC015145
LDECv5g04542	TC006033
LDECv5g04564	TC015937
LDECv5g04566	TC015430
LDECv5g04575	TC015302
LDECv5g04576	TC015655
LDECv5g04721	TC014953
LDECv5g04726	TC015025
LDECv5g04727	TC015660
LDECv5g04754	TC010445
LDECv5g04785	TC014478
LDECv5g04803	TC013348
LDECv5g04848	TC013682
LDECv5g04862	TC014600
LDECv5g04869	TC013407
LDECv5g04884	TC014127
LDECv5g04888	TC013337
LDECv5g04895	TC033048
LDECv5g04900	TC014483
LDECv5g04901	TC010408
LDECv5g04902	TC033101
LDECv5g04905	TC010406
LDECv5g04924	TC033029
LDECv5g04977	TC030598
LDECv5g05030	TC034722
LDECv5g05047	TC015690
LDECv5g05070	TC034748
LDECv5g05073	TC013629
LDECv5g05079	TC033407
LDECv5g05096	TC014959
LDECv5g05197	TC008521
LDECv5g05215	TC008032
LDECv5g05223	TC007525
LDECv5g05227	TC032830
LDECv5g05230	TC032880
LDECv5g05304	TC007618
LDECv5g05310	TC007883
LDECv5g05324	TC032839
LDECv5g05378	TC007248
LDECv5g05399	TC006879
LDECv5g05417	TC007205
LDECv5g05468	TC034528
LDECv5g05469	TC007760
LDECv5g05470	TC007759
LDECv5g05490	TC008122
LDECv5g05522	TC008212
LDECv5g05525	TC007257
LDECv5g05542	TC007265
LDECv5g05563	TC007060
LDECv5g05564	TC007146
LDECv5g05567	TC008334
LDECv5g05568	TC007305
LDECv5g05578	TC008326
LDECv5g05615	TC007253
LDECv5g05635	TC007409
LDECv5g05669	TC007033
LDECv5g05719	TC007810
LDECv5g05783	TC007912
LDECv5g05816	TC008185
LDECv5g05851	TC008292
LDECv5g05858	TC007693
LDECv5g05869	TC032815
LDECv5g05890	TC034651
LDECv5g05907	TC007676
LDECv5g05915	TC031096
LDECv5g05923	TC007083
LDECv5g05991	TC007336
LDECv5g06038	TC007446
LDECv5g06052	TC007481
LDECv5g06055	TC008009
LDECv5g06081	TC032949
LDECv5g06121	TC004381
LDECv5g06236	TC032198
LDECv5g06267	TC001231
LDECv5g06277	TC011565
LDECv5g06284	TC000543
LDECv5g06287	TC032216
LDECv5g06291	TC000335
LDECv5g06298	TC000504
LDECv5g06326	TC032748
LDECv5g06335	TC011397
LDECv5g06342	TC032723
LDECv5g06404	TC032080
LDECv5g06423	TC001346
LDECv5g06457	TC008020
LDECv5g06463	TC007872
LDECv5g06537	TC030897
LDECv5g06547	TC004432
LDECv5g06582	TC000383
LDECv5g06592	TC032195
LDECv5g06596	TC000583
LDECv5g06606	TC011557
LDECv5g06638	TC014644
LDECv5g06716	TC032769
LDECv5g06740	TC007327
LDECv5g06749	TC007656
LDECv5g06750	TC007250
LDECv5g06776	TC007475
LDECv5g06779	TC032719
LDECv5g06781	TC030714
LDECv5g06816	TC008248
LDECv5g06818	TC007228
LDECv5g06820	TC031105
LDECv5g06847	TC007854
LDECv5g06867	TC008236
LDECv5g06880	TC007794
LDECv5g06939	TC007231
LDECv5g06942	TC008240
LDECv5g06957	TC034197
LDECv5g06974	TC030608
LDECv5g06992	TC033884
LDECv5g07012	TC005341
LDECv5g07017	TC031275
LDECv5g07030	TC005952
LDECv5g07077	TC006187
LDECv5g07139	TC034109
LDECv5g07148	TC006407
LDECv5g07190	TC031283
LDECv5g07276	TC033264
LDECv5g07294	TC033566
LDECv5g07303	TC009259
LDECv5g07324	TC014533
LDECv5g07358	TC031214
LDECv5g07484	TC033686
LDECv5g07566	TC033775
LDECv5g07603	TC010029
LDECv5g07609	TC008818
LDECv5g07629	TC009268
LDECv5g07656	TC008835
LDECv5g07669	TC006551
LDECv5g07682	TC006679
LDECv5g07721	TC006471
LDECv5g07731	TC006773
LDECv5g07771	TC002221
LDECv5g07782	TC005447
LDECv5g07886	TC000160
LDECv5g07898	TC004825
LDECv5g07899	TC004830
LDECv5g07917	TC032097
LDECv5g07927	TC011026
LDECv5g07929	TC030670
LDECv5g07938	TC004461
LDECv5g07962	TC000185
LDECv5g07980	TC031981
LDECv5g08151	TC011033
LDECv5g08161	TC000546
LDECv5g08168	TC031364
LDECv5g08184	TC031001
LDECv5g08195	TC032148
LDECv5g08345	TC002649
LDECv5g08406	TC034622
LDECv5g08410	TC032248
LDECv5g08431	TC003841
LDECv5g08445	TC002272
LDECv5g08502	TC000132
LDECv5g08509	TC003327
LDECv5g08544	TC005995
LDECv5g08610	TC001022
LDECv5g08626	TC005764
LDECv5g08636	TC009435
LDECv5g08644	TC030007
LDECv5g08651	TC033748
LDECv5g08733	TC009087
LDECv5g08741	TC008653
LDECv5g08749	TC033183
LDECv5g08751	TC033180
LDECv5g08769	TC009782
LDECv5g08817	TC033581
LDECv5g08821	TC016092
LDECv5g08835	TC033650
LDECv5g08848	TC031190
LDECv5g08854	TC009812
LDECv5g08867	TC009106
LDECv5g08868	TC009729
LDECv5g08912	TC009140
LDECv5g08916	TC033518
LDECv5g08975	TC009027
LDECv5g08979	TC033639
LDECv5g09033	TC010597
LDECv5g09133	TC009245
LDECv5g09196	TC009190
LDECv5g09212	TC004422
LDECv5g09224	TC033858
LDECv5g09229	TC008671
LDECv5g09240	TC001738
LDECv5g09274	TC031207
LDECv5g09290	TC008896
LDECv5g09319	TC033522
LDECv5g09324	TC031186
LDECv5g09366	TC016051
LDECv5g09405	TC008661
LDECv5g09418	TC010061
LDECv5g09423	TC009165
LDECv5g09438	TC009191
LDECv5g09443	TC009184
LDECv5g09467	TC009937
LDECv5g09484	TC032180
LDECv5g09502	TC034634
LDECv5g09506	TC032642
LDECv5g09514	TC002488
LDECv5g09518	TC032637
LDECv5g09541	TC002395
LDECv5g09560	TC003964
LDECv5g09589	TC005858
LDECv5g09603	TC031053
LDECv5g09613	TC002504
LDECv5g09617	TC002629
LDECv5g09640	TC005855
LDECv5g09692	TC034566
LDECv5g09736	TC032596
LDECv5g09767	TC003821
LDECv5g09820	TC002367
LDECv5g09842	TC031024
LDECv5g09845	TC034577
LDECv5g09848	TC003328
LDECv5g09861	TC032516
LDECv5g09874	TC032700
LDECv5g09876	TC004030
LDECv5g09891	TC006983
LDECv5g09914	TC003570
LDECv5g09919	TC003424
LDECv5g09930	TC003589
LDECv5g09960	TC003514
LDECv5g09962	TC006451
LDECv5g10007	TC002550
LDECv5g10041	TC002585
LDECv5g10138	TC004018
LDECv5g10143	TC032674
LDECv5g10145	TC032674
LDECv5g10179	TC003971
LDECv5g10186	TC003355
LDECv5g10258	TC032343
LDECv5g10308	TC003021
LDECv5g10344	TC010123
LDECv5g10346	TC033588
LDECv5g10351	TC010119
LDECv5g10396	TC009344
LDECv5g10457	TC009541
LDECv5g10496	TC015927
LDECv5g10519	TC033579
LDECv5g10581	TC008860
LDECv5g10666	TC034180
LDECv5g10685	TC006495
LDECv5g10688	TC005515
LDECv5g10781	TC015472
LDECv5g10790	TC015245
LDECv5g10806	TC031574
LDECv5g10818	TC005500
LDECv5g10823	TC034139
LDECv5g10833	TC005910
LDECv5g10861	TC005864
LDECv5g10935	TC015222
LDECv5g10947	TC006296
LDECv5g10972	TC033929
LDECv5g10990	TC006222
LDECv5g11018	TC006138
LDECv5g11024	TC006488
LDECv5g11028	TC034176
LDECv5g11119	TC006701
LDECv5g11123	TC006171
LDECv5g11134	TC031288
LDECv5g11164	TC012168
LDECv5g11177	TC012068
LDECv5g11200	TC012582
LDECv5g11217	TC034332
LDECv5g11247	TC034427
LDECv5g11267	TC031765
LDECv5g11274	TC011971
LDECv5g11300	TC016033
LDECv5g11302	TC016270
LDECv5g11339	TC034438
LDECv5g11346	TC011992
LDECv5g11348	TC011953
LDECv5g11351	TC012698
LDECv5g11359	TC011813
LDECv5g11362	TC011814
LDECv5g11423	TC012492
LDECv5g11425	TC012491
LDECv5g11426	TC031766
LDECv5g11525	TC032626
LDECv5g11538	TC011508
LDECv5g11544	TC012074
LDECv5g11573	TC003537
LDECv5g11588	TC012118
LDECv5g11619	TC003391
LDECv5g11637	TC003035
LDECv5g11685	TC031022
LDECv5g11692	TC003295
LDECv5g11697	TC002523
LDECv5g11704	TC032354
LDECv5g11729	TC033401
LDECv5g11782	TC009754
LDECv5g11784	TC009072
LDECv5g11794	TC015325
LDECv5g11806	TC009788
LDECv5g11813	TC015275
LDECv5g11840	TC015498
LDECv5g11853	TC000625
LDECv5g11864	TC031392
LDECv5g12234	TC013656
LDECv5g12237	TC001324
LDECv5g12284	TC011114
LDECv5g12293	TC031992
LDECv5g12456	TC011128
LDECv5g12503	TC000606
LDECv5g12504	TC000323
LDECv5g12505	TC000321
LDECv5g12514	TC014364
LDECv5g12528	TC031140
LDECv5g12563	TC033105
LDECv5g12602	TC034687
LDECv5g12605	TC013703
LDECv5g12610	TC013701
LDECv5g12618	TC000451
LDECv5g12636	TC032035
LDECv5g12645	TC034685
LDECv5g12717	TC030667
LDECv5g12721	TC003628
LDECv5g12725	TC003630
LDECv5g12732	TC031040
LDECv5g12737	TC003639
LDECv5g12758	TC003908
LDECv5g12791	TC033868
LDECv5g12792	TC033870
LDECv5g12839	TC009310
LDECv5g12852	TC033551
LDECv5g12870	TC033742
LDECv5g12897	TC000041
LDECv5g12898	TC032478
LDECv5g12924	TC003911
LDECv5g12940	TC033267
LDECv5g12969	TC003454
LDECv5g12971	TC004584
LDECv5g12975	TC003451
LDECv5g12994	TC032404
LDECv5g13001	TC010378
LDECv5g13027	TC013256
LDECv5g13043	TC033678
LDECv5g13073	TC030784
LDECv5g13191	TC002789
LDECv5g13211	TC013292
LDECv5g13228	TC002816
LDECv5g13236	TC032415
LDECv5g13243	TC003560
LDECv5g13261	TC002099
LDECv5g13320	TC014363
LDECv5g13341	TC013945
LDECv5g13356	TC013938
LDECv5g13374	TC000366
LDECv5g13391	TC033996
LDECv5g13398	TC009916
LDECv5g13410	TC011305
LDECv5g13424	TC033019
LDECv5g13428	TC013887
LDECv5g13453	TC012992
LDECv5g13462	TC010923
LDECv5g13484	TC012902
LDECv5g13498	TC014052
LDECv5g13517	TC030607
LDECv5g13529	TC030624
LDECv5g13536	TC031939
LDECv5g13542	TC013691
LDECv5g13566	TC014580
LDECv5g13621	TC033193
LDECv5g13640	TC033258
LDECv5g13651	TC014609
LDECv5g13686	TC032986
LDECv5g13724	TC013875
LDECv5g13730	TC014626
LDECv5g13747	TC012814
LDECv5g13776	TC011641
LDECv5g13860	TC031252
LDECv5g13962	TC012521
LDECv5g13985	TC003408
LDECv5g14042	TC012639
LDECv5g14043	TC011876
LDECv5g14048	TC031577
LDECv5g14058	TC034342
LDECv5g14226	TC012454
LDECv5g14228	TC012455
LDECv5g14247	TC003198
LDECv5g14269	TC032287
LDECv5g14272	TC003238
LDECv5g14303	TC010649
LDECv5g14306	TC034351
LDECv5g14660	TC012126
LDECv5g14684	TC001120
LDECv5g14785	TC011095
LDECv5g14798	TC011205
LDECv5g14915	TC000699
LDECv5g14933	TC012450
LDECv5g14975	TC032006
LDECv5g15003	TC004819
LDECv5g15015	TC000781
LDECv5g15022	TC031963
LDECv5g15035	TC004976
LDECv5g15045	TC011261
LDECv5g15048	TC000873
LDECv5g15063	TC001278
LDECv5g15145	TC000750
LDECv5g15169	TC001297
LDECv5g15178	TC001302
LDECv5g15192	TC000231
LDECv5g15195	TC032012
LDECv5g15206	TC031362
LDECv5g15207	TC031361
LDECv5g15214	TC032056
LDECv5g15218	TC000813
LDECv5g15252	TC007861
LDECv5g15259	TC032751
LDECv5g15280	TC034925
LDECv5g15301	TC007192
LDECv5g15315	TC007720
LDECv5g15329	TC001074
LDECv5g15356	TC000430
LDECv5g15442	TC032822
LDECv5g15471	TC007089
LDECv5g15489	TC009127
LDECv5g00005	TC000641
LDECv5g00007	TC000933
LDECv5g00008	TC001362
LDECv5g00010	TC000165
LDECv5g00011	TC001375
LDECv5g00015	TC000969
LDECv5g00016	TC008924
LDECv5g00017	TC032120
LDECv5g00018	TC001148
LDECv5g00019	TC000408
LDECv5g00030	TC032029
LDECv5g00031	TC000970
LDECv5g00032	TC000968
LDECv5g00033	TC031326
LDECv5g00034	TC032224
LDECv5g00047	TC011467
LDECv5g00050	TC004402
LDECv5g00051	TC008156
LDECv5g00055	TC011185
LDECv5g00056	TC011106
LDECv5g00057	TC031391
LDECv5g00058	TC011372
LDECv5g00059	TC011105
LDECv5g00061	TC011374
LDECv5g00062	TC011182
LDECv5g00063	TC005779
LDECv5g00064	TC031442
LDECv5g00065	TC030578
LDECv5g00066	TC011007
LDECv5g00067	TC011475
LDECv5g00068	TC004929
LDECv5g00069	TC031634
LDECv5g00072	TC011399
LDECv5g00075	TC001958
LDECv5g00086	TC004261
LDECv5g00087	TC000960
LDECv5g00088	TC032121
LDECv5g00089	TC000609
LDECv5g00090	TC000611
LDECv5g00092	TC000824
LDECv5g00093	TC032171
LDECv5g00094	TC032165
LDECv5g00096	TC030986
LDECv5g00097	TC004463
LDECv5g00099	TC000478
LDECv5g00101	TC000184
LDECv5g00102	TC011318
LDECv5g00106	TC031365
LDECv5g00108	TC000610
LDECv5g00109	TC000686
LDECv5g00114	TC000988
LDECv5g00117	TC000587
LDECv5g00120	TC000588
LDECv5g00123	TC004936
LDECv5g00124	TC032140
LDECv5g00125	TC000549
LDECv5g00126	TC000585
LDECv5g00127	TC000586
LDECv5g00128	TC031454
LDECv5g00130	TC004390
LDECv5g00131	TC000971
LDECv5g00133	TC010778
LDECv5g00134	TC000972
LDECv5g00135	TC000747
LDECv5g00136	TC000748
LDECv5g00137	TC000825
LDECv5g00139	TC000746
LDECv5g00145	TC004416
LDECv5g00147	TC004980
LDECv5g00148	TC000537
LDECv5g00151	TC014611
LDECv5g00155	TC001018
LDECv5g00156	TC000552
LDECv5g00157	TC000551
LDECv5g00159	TC001017
LDECv5g00161	TC032137
LDECv5g00164	TC014967
LDECv5g00165	TC001036
