Geneid	Uniprot_annotation	Interproscan_annotation	GO_term	KEGG_annotation
LDECv5g00011	NA	Protein kinase-like (PK-like)|Protein kinase-like domain superfamily|Ecdysteroid kinase-like family|Ecdysteroid kinase-like|121neu2hmm|CHK kinase-like	GO:0008150, GO:0009987, GO:0003824, GO:0003674, GO:0008152	NA
LDECv5g00012	Neurexin-4; Drosophila melanogaster	Galactose-binding domain-like|Galactose-binding-like domain superfamily|LamG_3|Laminin G domain|LamG|Laminin G domain|Laminin G domain profile.|Laminin G domain|Contactin-associated protein-like 4 isoform 1|Coagulation factors 5/8 type C domain (FA58C) signature 2.|Coagulation factor 5/8, C-terminal domain|Concanavalin A-like lectins/glucanases|Concanavalin A-like lectin/glucanase domain superfamily|EGF_CA|Coagulation factors 5/8 type C domain (FA58C) signature 1.|Coagulation factor 5/8, C-terminal domain|F5/8 type C domain|Coagulation factor 5/8, C-terminal domain|Coagulation factors 5/8 type C domain (FA58C) profile.|Coagulation factor 5/8, C-terminal domain|EGF-like domain profile.|EGF-like domain|FA58C|Coagulation factor 5/8, C-terminal domain|egf_5|EGF-like domain|Laminin G domain|disc_4|Coagulation factor 5/8, C-terminal domain|Laminin|4.1m_4|Neurexin/syndecan/glycophorin C	GO:0008150, GO:0005575, GO:0007155, GO:0030054, GO:0032991, GO:0009653, GO:0016043, GO:0009987, GO:0051179, GO:0071840, GO:0032502, GO:0016020	K07380
LDECv5g00013	Serine hydrolase BPHL; Mus musculus	alpha/beta hydrolase fold|Alpha/beta hydrolase fold-1|alpha/beta-Hydrolases|Alpha/Beta hydrolase fold|alpha/beta hydrolase|Alpha/Beta hydrolase fold|Alpha/beta hydrolase fold signature|Alpha/beta hydrolase fold-1	GO:0017171, GO:0003824, GO:0005575, GO:0016787, GO:0043231, GO:0043229, GO:0043227, GO:0005739, GO:0007005, GO:0003674, GO:0043226, GO:0008150	K18399
LDECv5g00014	Serine hydrolase BPHL; Mus musculus	alpha/beta hydrolase|Alpha/Beta hydrolase fold|alpha/beta hydrolase fold|Alpha/beta hydrolase fold-1|alpha/beta-Hydrolases|Alpha/Beta hydrolase fold|Alpha/beta hydrolase fold signature|Alpha/beta hydrolase fold-1	GO:0017171, GO:0003824, GO:0140096, GO:0016787, GO:0016788, GO:0003674, GO:0008150, GO:0006805, GO:0005829, GO:0008152	K18399
LDECv5g00015	T-complex protein 1 subunit alpha; Drosophila melanogaster	Chaperonins TCP-1 signature 2.|Chaperonin TCP-1, conserved site|T-complex protein 1 subunit alpha|T-complex protein 1, alpha subunit|T-complex protein 1 subunit alpha|GroEL-intermediate domain like|TCP-1-like chaperonin intermediate domain superfamily|thermosome subunit alpha|TCP-1 chaperonin-like|GroEL apical domain-like|GroEL-like apical domain superfamily|thermosome subunit beta|TCP-1 chaperonin-like|Tailless complex polypeptide 1 (chaperone) signature|T-complex protein 1|Uncharacterized protein|GroEL|GroEL-like apical domain superfamily|Chaperonins TCP-1 signature 1.|Chaperonin TCP-1, conserved site|TCP-1-like chaperonin intermediate domain superfamily|GroEL-like equatorial domain superfamily|TCP1_alpha|T-complex protein 1, alpha subunit|Chaperonins TCP-1 signature 3.|Chaperonin TCP-1, conserved site|TCP-1/cpn60 chaperonin family|Chaperonin Cpn60/GroEL/TCP-1 family|GroEL equatorial domain-like|GroEL-like equatorial domain superfamily	GO:0005524, GO:0006457, GO:0016887, GO:0051082, GO:0140662, GO:0030554, GO:0032559, GO:0043168, GO:0005488, GO:0008150, GO:0097367, GO:0009987, GO:0005575, GO:1901363, GO:0043167, GO:0003674, GO:1901265, GO:0000166, GO:0005515, GO:0032991, GO:0017076, GO:0035639, GO:0032555, GO:0032553, GO:0036094, GO:0101031, GO:0005832, GO:2001252	K09493
LDECv5g00016	Coiled-coil domain-containing protein 112; Homo sapiens	NA	GO:0008150, GO:0005575, GO:0050789, GO:0009889	NA
LDECv5g00017	NA	NA	GO:0008150, GO:0005575, GO:0009987, GO:0050789, GO:0002376, GO:0003674, GO:0065007	K25686
LDECv5g00018	Large ribosomal subunit protein bL32m; Drosophila melanogaster	Ribosomal L32p protein family|Large ribosomal subunit protein bL32|Zn-binding ribosomal proteins|Zinc-binding ribosomal protein	GO:0003735, GO:0006412, GO:0015934, GO:0005762, GO:0005488, GO:0008150, GO:0009987, GO:0005575, GO:0043170, GO:0008152, GO:0003674, GO:0044238, GO:0009058, GO:0006139, GO:0003676	K02911
LDECv5g00019	All trans-polyprenyl-diphosphate synthase PDSS1; Homo sapiens	Farnesyl Diphosphate Synthase|Isoprenoid synthase domain superfamily|Polyprenyl synthases signature 2.|Polyprenyl synthetase, conserved site|Polyprenyl synthases signature 1.|Polyprenyl synthetase, conserved site|Decaprenyl diphosphate synthase subunit 1|Polyprenyl synthetase|Polyprenyl synthetase-like|Terpenoid synthases|Isoprenoid synthase domain superfamily|Trans_IPPS_HT|Polyprenyl synthetase-like|Isoprenoid Synthase Type I	GO:0004659, GO:0005739, GO:0006744, GO:0008299, GO:1990234, GO:0005488, GO:0008150, GO:0043169, GO:0009987, GO:0005575, GO:0043167, GO:0046872, GO:0003674, GO:0003824, GO:0008152, GO:0006720, GO:0044238	K12504
LDECv5g00020	NA	Insulin-like|Insulin-like superfamily|Nematode insulin-related peptide beta type|Nematode insulin-like peptide, beta type|IlGF_1|Insulin-like|IlGF_insulin_bombyxin_like	GO:0005179, GO:0005576, GO:0005488, GO:0008150, GO:0005575, GO:0043231, GO:0043229, GO:0043227, GO:0003674, GO:0043226, GO:0050789, GO:0022414, GO:0005515, GO:0005634, GO:0060255, GO:0048583, GO:0050794, GO:0080090, GO:0065007, GO:0022412	K05459
LDECv5g00021	Inward rectifier potassium channel 2; Gallus gallus	Voltage-gated potassium channels|E set domains|Immunoglobulin E-set|Putative Inward rectifier potassium channel|Potassium channel, inwardly rectifying, Kir, cytoplasmic|Inward rectifier K+ channel superfamily signature|Potassium channel, inwardly rectifying, Kir|Inward rectifier potassium channel C-terminal domain|Inward rectifier potassium channel, C-terminal|GIRK_kir|Potassium channel, inwardly rectifying, Kir|Inward rectifier potassium channel transmembrane domain|Potassium channel, inwardly rectifying, transmembrane domain	GO:0005242, GO:0005886, GO:0006813, GO:0016020, GO:0034765, GO:1990573, GO:0065007, GO:0008150, GO:0005261, GO:0008324, GO:0006812, GO:0005575, GO:0015267, GO:0048878, GO:0051234, GO:0022836, GO:0005216, GO:0022839, GO:0034220, GO:0015075, GO:0006811, GO:0099094, GO:0022834, GO:0015276, GO:0051179, GO:0046873, GO:0030001, GO:0003674, GO:0022803, GO:0005267, GO:0071805, GO:0015079, GO:0043269, GO:0032879, GO:0034762, GO:0051049, GO:0022857, GO:0006810, GO:0005215, GO:0022843, GO:0022832, GO:0005244, GO:0005249, GO:0042592, GO:0065008, GO:0055080, GO:0050789, GO:0050801, GO:0098655, GO:0008289, GO:0098771, GO:0042391	K05330
LDECv5g00022	Venom acid phosphatase Acph-1; Apis mellifera	Histidine phosphatase superfamily (branch 2)|Histidine phosphatase superfamily, clade-2|Phosphoglycerate mutase-like|Histidine phosphatase superfamily|HP_HAP_like|Histidine phosphatase superfamily, clade-2|Histidine acid phosphatases phosphohistidine signature.|Histidine acid phosphatase active site|Histidine phosphatase superfamily	GO:0016311, GO:0016791, GO:0003993, GO:0005575, GO:0016787, GO:0008150, GO:0003674, GO:0050789, GO:0050794, GO:0003824, GO:0065007, GO:0005576, GO:0048583, GO:0009987	NA
LDECv5g00023	Ankyrin repeat domain-containing protein 12; Homo sapiens	Ankyrin repeat|Ankyrin repeat-containing domain superfamily|Ankyrin repeat region circular profile.|Ankyrin repeat|Ankyrin repeat signature|Ankyrin repeat|Ankyrin repeat profile.|Ankyrin repeat|ANK_2a|Ankyrin repeat|Ankyrin repeats (3 copies)|Ankyrin repeat|Ankyrin repeat-containing domain superfamily	GO:0005515, GO:0005654, GO:0065007, GO:0008150, GO:0005575, GO:0003674, GO:0048518, GO:0050789, GO:0009893, GO:0050794, GO:0019222, GO:0043226, GO:0009987, GO:0043229, GO:0010604, GO:0080090, GO:0043227, GO:0060255, GO:0048522, GO:0005634, GO:0016043	K21436
LDECv5g00024	Thiamine pyrophosphokinase 1; Homo sapiens	Thiamine pyrophosphokinase|Thiamin pyrophosphokinase 1|Thiamin pyrophosphokinase, catalytic domain|TPK|Thiamin pyrophosphokinase|Thiamin pyrophosphokinase, catalytic domain|Thiamin pyrophosphokinase, catalytic domain superfamily|thiamine diphosphokinase|Thiamin pyrophosphokinase|Thiamin pyrophosphokinase, substrate-binding domain|Thiamin pyrophosphokinase, thiamin-binding domain superfamily|Thiamin pyrophosphokinase, vitamin B1 binding domain|Thiamin pyrophosphokinase, thiamin-binding domain|TPK_B1_binding_a_2_a|Thiamin pyrophosphokinase, thiamin-binding domain	GO:0004788, GO:0005524, GO:0009229, GO:0006772, GO:0030975, GO:0044238, GO:0002697, GO:0043170	K00949
LDECv5g00025	NA	NA	GO:0005575, GO:0071840, GO:0008150	NA
LDECv5g00026	NA	NA	GO:0008150, GO:0005575, GO:0043231, GO:0043229, GO:0043227, GO:0043226, GO:0003674, GO:0005634, GO:0005488	NA
LDECv5g00027	NA	NA	GO:0065007, GO:0008150, GO:0022607, GO:0071840, GO:0009987, GO:0005575, GO:0048523, GO:0009297, GO:0032991, GO:0043484, GO:0050789, GO:0050794, GO:0016324, GO:0019222, GO:0080090, GO:0016043, GO:0003727, GO:0048519, GO:0016020, GO:0036265	NA
LDECv5g00028	Sorbin and SH3 domain-containing protein 1; Mus musculus	SH3_Sorbs_2|PDZ domain|PDZ domain-like|PDZ superfamily|Src homology 3 (SH3) domain profile.|SH3 domain|SH3-domain|SH3-like domain superfamily|PDZ superfamily|SH3 Domains|Sorbin and SH3 domain-containing protein 1 isoform 2|SH3_Sorbs_3|pdz_new|PDZ domain|Variant SH3 domain|SH3 domain|PDZ and LIM domain protein 3|SH3_2|SH3 domain|SoHo domain profile.|SoHo domain|PDZ domain profile.|PDZ domain|SH3_Sorbs_1	GO:0005515, GO:0005488, GO:0065007, GO:0008150, GO:0016043, GO:0071840, GO:0009987, GO:0005575, GO:0003674, GO:0043226, GO:0048518, GO:0051130, GO:0048522, GO:0050789, GO:0051128, GO:0050794, GO:0033043, GO:0009653, GO:0051726, GO:0048583, GO:0043228, GO:0022607, GO:0043229, GO:0048729, GO:0044093, GO:0065009, GO:0043232, GO:0006996, GO:0007165, GO:0051493, GO:0019222, GO:0016020, GO:1902115, GO:0098590, GO:0040012, GO:0044087, GO:0010564	NA
LDECv5g00029	S-adenosylmethionine synthase; Drosophila melanogaster	S-adenosylmethionine synthetase, C-terminal domain|S-adenosylmethionine synthetase, C-terminal|S-adenosylmethionine synthase signature 1.|S-adenosylmethionine synthetase, conserved site|S-adenosylmethionine synthase signature 2.|S-adenosylmethionine synthetase, conserved site|S-adenosylmethionine synthetase, N-terminal domain|S-adenosylmethionine synthetase, N-terminal|S-adenosylmethionine synthetase|S-adenosylmethionine synthetase superfamily|S-AdoMet_synt|S-adenosylmethionine synthase|S-adenosylmethionine synthase [metK].|S-adenosylmethionine synthetase|MAT|S-adenosylmethionine synthetase|methionine adenosyltransferase|S-adenosylmethionine synthetase|S-adenosylmethionine synthetase, central domain	GO:0004478, GO:0006556, GO:0005524, GO:0030554, GO:0032559, GO:0043168, GO:0005488, GO:0008150, GO:0009058, GO:0097367, GO:0003824, GO:0043169, GO:0009987, GO:1901363, GO:0043167, GO:0008152, GO:0003674, GO:1901265, GO:0000166, GO:0006730, GO:0006082, GO:0043436, GO:0017076, GO:0035639, GO:0032555, GO:0032553, GO:0036094, GO:0044281, GO:0044272, GO:0006790, GO:0016740, GO:0016765, GO:0046500, GO:0019752, GO:0006520, GO:0046872, GO:1901605, GO:0005575, GO:0048269	K00789
LDECv5g00030	NA	NA	NA	NA
LDECv5g00031	Unextended protein; Drosophila melanogaster	Cyclin M transmembrane N-terminal domain|CNNM, transmembrane domain|Jelly Rolls|RmlC-like jelly roll fold|cAMP-binding domain-like|Cyclic nucleotide-binding domain superfamily|CBS domain superfamily|CBS_pair_CorC_HlyC_assoc|Ion transporter-like, CBS domain|Putative metal transporter CNNM3 isoform 2|cAMP/cGMP binding motif profile.|Cyclic nucleotide-binding domain|CBS-domain pair|CBS domain superfamily|CNNM transmembrane domain profile.|CNNM, transmembrane domain|Metal transporter CNNM2-like, C-terminal CNBH domain|Metal transporter CNNM-like, C-terminal CNBH domain	GO:0005886, GO:0006810, GO:0010960, GO:0022857, GO:0008150, GO:0005575, GO:0051234, GO:0006811, GO:0051179, GO:0016020, GO:0022414, GO:0003674, GO:0051239, GO:0065007, GO:0032879, GO:0031090, GO:0050789, GO:0006812, GO:0032501, GO:0015711, GO:0048583, GO:0051240, GO:0030001, GO:0048518	K16302
LDECv5g00032	Double-strand-break repair protein rad21 homolog; Bos taurus	Conserved region of Rad21 / Rec8 like protein|Rad21/Rec8-like protein, C-terminal, eukaryotic|Rad21_Rec8_M_NXP1-like|NXP-1, middle HEAT-repeat binding domain|Structural maintenance of chromosome 1. Chain E|ScpA-like, C-terminal|"Winged helix" DNA-binding domain|Winged helix DNA-binding domain superfamily|N terminus of Rad21 / Rec8 like protein|Rad21/Rec8-like protein, N-terminal	GO:0003682, GO:0007062, GO:0008278, GO:1990414, GO:0005515, GO:0065007, GO:0008150, GO:0016043, GO:0071840, GO:0009987, GO:0005575, GO:0032502, GO:0003674, GO:0043226, GO:0048518, GO:0050789, GO:0050794, GO:0019222, GO:0000922, GO:0033036, GO:0032501, GO:0051240, GO:0008104, GO:0043229, GO:0043227, GO:0048646, GO:0051179, GO:0016020, GO:0007275, GO:0019866, GO:0080090, GO:0051052, GO:0019219, GO:0048869, GO:0051094, GO:0060255, GO:0043934, GO:0043231, GO:0048522, GO:0032991, GO:0022607, GO:0031090	K06670
LDECv5g00033	ATP-dependent RNA helicase DDX54; Mus musculus	DEAD-box subfamily ATP-dependent helicases signature.|ATP-dependent RNA helicase DEAD-box, conserved site|P-loop containing nucleoside triphosphate hydrolase|Superfamilies 1 and 2 helicase ATP-binding type-1 domain profile.|Helicase superfamily 1/2, ATP-binding domain|ATP-dependent RNA helicase DDX54|DBP10CT (NUC160) domain|DBP10, C-terminal|SF2_C_DEAD|Helicase conserved C-terminal domain|Helicase, C-terminal domain-like|ultradead3|Helicase superfamily 1/2, ATP-binding domain|DEADc_DDX54|DDX54/DBP10 family, DEAD-box helicase domain|P-loop containing nucleoside triphosphate hydrolases|P-loop containing nucleoside triphosphate hydrolase|DBP10CT_2|DBP10, C-terminal|Superfamilies 1 and 2 helicase C-terminal domain profile.|Helicase, C-terminal domain-like|DEAD/DEAH box helicase|DEAD/DEAH-box helicase domain|DEAD-box RNA helicase Q motif profile.|RNA helicase, DEAD-box type, Q motif|helicmild6|Helicase, C-terminal domain-like	GO:0003724, GO:0005829, GO:0003723, GO:0005524, GO:0005634, GO:0003676, GO:0016887, GO:0030554, GO:0032559, GO:0043168, GO:0005488, GO:0008150, GO:0097367, GO:0003824, GO:0140098, GO:0005575, GO:0003725, GO:0004386, GO:1901363, GO:0016787, GO:0016817, GO:0016818, GO:0043229, GO:0043167, GO:0008152, GO:0003674, GO:0005730, GO:1901265, GO:0017111, GO:0000166, GO:0043226, GO:0017076, GO:0035639, GO:0032555, GO:0016462, GO:0032553, GO:0003727, GO:0036094, GO:0009987, GO:0090304, GO:0044238, GO:0043232, GO:0043170, GO:0043228, GO:1990904, GO:0006139, GO:0043227, GO:0005515	K14808
LDECv5g00034	NA	Haemolymph juvenile hormone binding protein|Takeout superfamily|Haemolymph juvenile hormone binding protein (JHBP)|Haemolymph juvenile hormone binding	GO:0005575, GO:0003674, GO:0005576, GO:0003824	NA
LDECv5g00035	NA	NA	GO:0051020, GO:0065007, GO:0008150, GO:0009987, GO:0005575, GO:0019899, GO:0005085, GO:0098772, GO:0003674, GO:0048522, GO:0005515, GO:0032991, GO:0046578, GO:0032956, GO:0032970, GO:0050789, GO:0010646, GO:0044087, GO:0051128, GO:0050794, GO:0051493, GO:1902531, GO:0033043, GO:0048583, GO:0051056, GO:0007165, GO:0031267, GO:0048518, GO:0051726, GO:0023051, GO:0035023, GO:0008092, GO:0009966, GO:0005488, GO:0050793, GO:0098794, GO:0110053, GO:1902903, GO:0048523, GO:0051497, GO:0032535, GO:0099568	NA
LDECv5g00036	Peptidyl-prolyl cis-trans isomerase-like 3; Rattus norvegicus	Cyclophilin-like domain superfamily|Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain profile.|Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain|Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD|Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain|Cyclophilin_PPIL3_like|Cyclophilin peptidyl-prolyl cis-trans isomerase signature|Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain|Cyclophilin-like|Cyclophilin-like domain superfamily|Peptidylpro_ismrse|Cyclophilin-type peptidyl-prolyl cis-trans isomerase|Cyclophilin-type peptidyl-prolyl cis-trans isomerase signature.|Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site|Peptidyl-prolyl cis-trans isomerase	GO:0000413, GO:0003755, GO:0006457, GO:0071013, GO:0008150, GO:0003824, GO:0140096, GO:0016859, GO:0016853, GO:0043412, GO:0003674, GO:0036211, GO:0005681, GO:0008380, GO:0043170, GO:0009987, GO:0018193, GO:0005488, GO:0043169, GO:0044238, GO:0019538, GO:0006397	K12734
LDECv5g00037	THAP domain-containing protein 2; Mus musculus	THAP domain|THAP-type zinc finger|dm3|THAP-type zinc finger|THAP_2|THAP-type zinc finger|THAP domain|THAP-type zinc finger superfamily|Glucocorticoid receptor-like (DNA-binding domain)|Zinc finger THAP-type profile|THAP-type zinc finger	GO:0043565, GO:0051301	K23204
LDECv5g00038	uS5 assembly chaperone PDCD2L; Mus musculus	Programmed cell death protein 2, C-terminal putative domain|Programmed cell death protein 2, C-terminal	GO:0006915, GO:0005737, GO:0008150, GO:0043169, GO:0007049, GO:0009987, GO:0005575, GO:0046872, GO:0043167	K14801
LDECv5g00039	Solute carrier family 25 member 32; Macaca fascicularis	Mitochondrial carrier protein signature|Mitochondrial carrier protein|Folate transporter 1, chloroplastic|Mitochondrial carrier protein|Mitochondrial carrier protein, transmembrane region|folate transporter 1, chloroplastic isoform X1|Mitochondrial carrier domain|Mitochondrial carrier protein domain superfamily|Solute carrier (Solcar) repeat profile.|Mitochondrial carrier protein, transmembrane region|Mitochondrial carrier|Mitochondrial carrier protein domain superfamily	GO:0055085, GO:0006862, GO:0008509, GO:0008150, GO:1901505, GO:0008324, GO:0005575, GO:0015075, GO:0016020, GO:0043227, GO:0005743, GO:0072349, GO:0003674, GO:0015932, GO:0015215, GO:0019866, GO:0031090, GO:0015605, GO:0022857, GO:0005215, GO:0090482, GO:0031966, GO:0015230, GO:0043231, GO:0043226, GO:0043229, GO:0008517, GO:0051234, GO:0000295, GO:0015748, GO:0005346, GO:0015711, GO:0006810, GO:0008152, GO:0006811, GO:0072337, GO:0051179, GO:0005347	K15115
LDECv5g00040	Actin-related protein 10; Mus musculus	Actin; Chain A, domain 4|ASKHA_NBD_Arp10|Actin-like ATPase domain|ATPase, nucleotide binding domain|Actin|Actin family|actin_3|Actin family	GO:0008150, GO:0016740, GO:0005575, GO:0005869, GO:0051179, GO:0008152, GO:0043226, GO:0006810, GO:0043229, GO:0051234, GO:0044238, GO:0043227	K16576
LDECv5g00041	NA	NA	GO:0065007, GO:0008150, GO:0009987, GO:0005575, GO:0008092, GO:0051179, GO:0098772, GO:0005515, GO:0008104, GO:0032991, GO:0050789, GO:0051128, GO:0050794, GO:1902531, GO:0048583, GO:0051056, GO:0007165, GO:0051020, GO:0005737, GO:0051234, GO:0033036, GO:0003674, GO:0051641, GO:0016192, GO:0099568, GO:0016020, GO:0005938, GO:0010646, GO:0005096, GO:0098796, GO:0032970, GO:0006810, GO:0030054	NA
