Ldecemlineata	Dmelanogaster
LDECv5g00467	FBgn0039774
LDECv5g01309	FBgn0032940
LDECv5g03009	FBgn0051352
LDECv5g03179	FBgn0015024
LDECv5g03590	FBgn0264975
LDECv5g03600	FBgn0011259
LDECv5g04255	FBgn0261671
LDECv5g04568	FBgn0003134
LDECv5g05513	FBgn0000711
LDECv5g04689	FBgn0052000
LDECv5g04869	FBgn0260486
LDECv5g04924	FBgn0003870
LDECv5g06343	FBgn0001624
LDECv5g07062	FBgn0026238
LDECv5g07429	FBgn0263219
LDECv5g07991	FBgn0030052
LDECv5g09048	FBgn0045063
LDECv5g09324	FBgn0285917
LDECv5g10297	FBgn0003218
LDECv5g11372	FBgn0000546
LDECv5g11377	FBgn0263706
LDECv5g12499	FBgn0005632
LDECv5g13085	FBgn0260749
LDECv5g13858	FBgn0053196
LDECv5g13986	FBgn0016797
LDECv5g14004	FBgn0024277
LDECv5g14680	FBgn0032901
LDECv5g14947	FBgn0260642
LDECv5g15010	FBgn0004167
LDECv5g00669	FBgn0261574
LDECv5g01320	FBgn0031762
LDECv5g02405	FBgn0004648
LDECv5g02427	FBgn0263934
LDECv5g02482	FBgn0264078
LDECv5g02571	FBgn0026376
LDECv5g02962	FBgn0287724
LDECv5g03201	FBgn0038063
LDECv5g03410	FBgn0284245
LDECv5g12485	FBgn0000557
LDECv5g03439	FBgn0051092
LDECv5g05335	FBgn0037992
LDECv5g05956	FBgn0010300
LDECv5g06038	FBgn0014388
LDECv5g06463	FBgn0035432
LDECv5g06670	FBgn0030719
LDECv5g08756	FBgn0288686
LDECv5g07488	FBgn0003889
LDECv5g08754	FBgn0284243
LDECv5g07602	FBgn0261797
LDECv5g07603	FBgn0263593
LDECv5g07682	FBgn0051992
LDECv5g07924	FBgn0038803
LDECv5g08777	FBgn0085434
LDECv5g08949	FBgn0031228
LDECv5g09930	FBgn0029105
LDECv5g10179	FBgn0260657
LDECv5g11453	FBgn0000117
LDECv5g11550	FBgn0030699
LDECv5g12264	FBgn0263391
LDECv5g12833	FBgn0022764
LDECv5g13962	FBgn0024836
LDECv5g13968	FBgn0027621
LDECv5g14247	FBgn0035989
LDECv5g00221	FBgn0011225
LDECv5g00855	FBgn0264895
LDECv5g01136	FBgn0003475
LDECv5g01164	FBgn0051660
LDECv5g01454	FBgn0030089
LDECv5g02022	FBgn0036789
LDECv5g02535	FBgn0033246
LDECv5g02566	FBgn0264006
LDECv5g07544	FBgn0037573
LDECv5g03005	FBgn0036030
LDECv5g03471	FBgn0026179
LDECv5g03576	FBgn0001991
LDECv5g03785	FBgn0265191
LDECv5g04755	FBgn0031637
LDECv5g05093	FBgn0003423
LDECv5g05214	FBgn0000667
LDECv5g05360	FBgn0036376
LDECv5g05615	FBgn0000635
LDECv5g06039	FBgn0265726
LDECv5g06246	FBgn0261611
LDECv5g06591	FBgn0011661
LDECv5g06613	FBgn0261617
LDECv5g07124	FBgn0026597
LDECv5g07285	FBgn0261822
LDECv5g07609	FBgn0042693
LDECv5g08179	FBgn0039266
LDECv5g09242	FBgn0001122
LDECv5g09282	FBgn0032796
LDECv5g09613	FBgn0000578
LDECv5g09760	FBgn0263395
LDECv5g10478	FBgn0266717
LDECv5g10622	FBgn0267791
LDECv5g11235	FBgn0011817
LDECv5g11247	FBgn0262579
LDECv5g11496	FBgn0086372
LDECv5g11706	FBgn0262733
LDECv5g12293	FBgn0263995
LDECv5g13442	FBgn0032156
LDECv5g14234	FBgn0035227
LDECv5g14306	FBgn0261836
LDECv5g15315	FBgn0265597
LDECv5g15459	FBgn0031100
LDECv5g00168	FBgn0025864
LDECv5g00485	FBgn0028697
LDECv5g00846	FBgn0287873
LDECv5g00864	FBgn0262740
LDECv5g01630	FBgn0039714
LDECv5g01679	FBgn0085421
LDECv5g01915	FBgn0028487
LDECv5g08405	FBgn0035649
LDECv5g02395	FBgn0038603
LDECv5g02664	FBgn0014010
LDECv5g02966	FBgn0264442
LDECv5g03026	FBgn0004889
LDECv5g03277	FBgn0020653
LDECv5g03502	FBgn0262139
LDECv5g03594	FBgn0028863
LDECv5g03656	FBgn0029896
LDECv5g03874	FBgn0010415
LDECv5g03982	FBgn0031322
LDECv5g12723	FBgn0263106
LDECv5g03985	FBgn0259245
LDECv5g04017	FBgn0264075
LDECv5g04127	FBgn0290398
LDECv5g04576	FBgn0022361
LDECv5g04682	FBgn0038073
LDECv5g04736	FBgn0004397
LDECv5g04791	FBgn0029891
LDECv5g04837	FBgn0016930
LDECv5g04875	FBgn0263998
LDECv5g04975	FBgn0040022
LDECv5g05041	FBgn0034145
LDECv5g05355	FBgn0031717
LDECv5g05376	FBgn0026418
LDECv5g05380	FBgn0037094
LDECv5g05390	FBgn0031220
LDECv5g05945	FBgn0030685
LDECv5g06299	FBgn0026084
LDECv5g06483	FBgn0000490
LDECv5g06560	FBgn0004598
LDECv5g06615	FBgn0030894
LDECv5g06650	FBgn0024814
LDECv5g06672	FBgn0025637
LDECv5g06790	FBgn0004242
LDECv5g06916	FBgn0021979
LDECv5g07626	FBgn0022238
LDECv5g07717	FBgn0003716
LDECv5g07962	FBgn0038826
LDECv5g08410	FBgn0261698
LDECv5g08798	FBgn0029092
LDECv5g10227	FBgn0024189
LDECv5g10348	FBgn0016131
LDECv5g10547	FBgn0085390
LDECv5g10632	FBgn0027279
LDECv5g10641	FBgn0021760
LDECv5g10735	FBgn0264386
LDECv5g10934	FBgn0086676
LDECv5g11043	FBgn0266129
LDECv5g11141	FBgn0041004
LDECv5g11172	FBgn0038167
LDECv5g11200	FBgn0016696
LDECv5g11311	FBgn0261649
LDECv5g11568	FBgn0003301
LDECv5g11697	FBgn0005640
LDECv5g11864	FBgn0259170
LDECv5g12214	FBgn0028399
LDECv5g12383	FBgn0261811
LDECv5g12456	FBgn0031738
LDECv5g12463	FBgn0003392
LDECv5g12829	FBgn0259978
LDECv5g12893	FBgn0259243
LDECv5g13462	FBgn0267376
LDECv5g13574	FBgn0067783
LDECv5g13701	FBgn0011766
LDECv5g13704	FBgn0259145
LDECv5g13774	FBgn0038652
LDECv5g14101	FBgn0020386
LDECv5g14235	FBgn0266000
LDECv5g14256	FBgn0021764
LDECv5g14929	FBgn0031879
LDECv5g15082	FBgn0013764
LDECv5g15197	FBgn0036974
LDECv5g15201	FBgn0004622
LDECv5g15427	FBgn0041111
LDECv5g15442	FBgn0003371
LDECv5g00126	FBgn0063649
LDECv5g00138	FBgn0264491
LDECv5g00253	FBgn0039209
LDECv5g00713	FBgn0036144
LDECv5g00843	FBgn0038427
LDECv5g00853	FBgn0002413
LDECv5g15431	FBgn0036222
LDECv5g00987	FBgn0261439
LDECv5g01194	FBgn0261509
LDECv5g01608	FBgn0026319
LDECv5g01796	FBgn0259179
LDECv5g02339	FBgn0041210
LDECv5g02504	FBgn0030735
LDECv5g02630	FBgn0035876
LDECv5g02750	FBgn0023083
LDECv5g03047	FBgn0032447
LDECv5g03223	FBgn0033062
LDECv5g03271	FBgn0050361
LDECv5g03423	FBgn0262081
LDECv5g03432	FBgn0042696
LDECv5g03454	FBgn0005666
LDECv5g03487	FBgn0002567
LDECv5g03531	FBgn0261625
LDECv5g03700	FBgn0031869
LDECv5g03754	FBgn0261794
LDECv5g03810	FBgn0037702
LDECv5g03822	FBgn0050372
LDECv5g03885	FBgn0024963
LDECv5g04033	FBgn0040823
LDECv5g04105	FBgn0026313
LDECv5g04426	FBgn0030343
LDECv5g04431	FBgn0011672
LDECv5g04696	FBgn0011202
LDECv5g04940	FBgn0042185
LDECv5g05195	FBgn0031449
LDECv5g05213	FBgn0053094
LDECv5g05290	FBgn0030087
LDECv5g05316	FBgn0030093
LDECv5g05635	FBgn0019650
LDECv5g05698	FBgn0032446
LDECv5g05719	FBgn0259221
LDECv5g05793	FBgn0266019
LDECv5g05857	FBgn0278608
LDECv5g06326	FBgn0029504
LDECv5g06328	FBgn0033844
LDECv5g06432	FBgn0000536
LDECv5g06449	FBgn0025631
LDECv5g06500	FBgn0020249
LDECv5g06577	FBgn0004435
LDECv5g06946	FBgn0037182
LDECv5g07001	FBgn0039790
LDECv5g07093	FBgn0267002
LDECv5g07139	FBgn0000721
LDECv5g07211	FBgn0069969
LDECv5g07629	FBgn0023441
LDECv5g07698	FBgn0004584
LDECv5g07823	FBgn0036134
LDECv5g07887	FBgn0035385
LDECv5g08054	FBgn0263603
LDECv5g08152	FBgn0086687
LDECv5g08369	FBgn0263132
LDECv5g08661	FBgn0250753
LDECv5g08714	FBgn0053207
LDECv5g08868	FBgn0033226
LDECv5g09054	FBgn0014020
LDECv5g09189	FBgn0003943
LDECv5g09438	FBgn0262125
LDECv5g09451	FBgn0039690
LDECv5g09528	FBgn0027786
LDECv5g09664	FBgn0031191
LDECv5g09876	FBgn0035542
LDECv5g09949	FBgn0085436
LDECv5g10276	FBgn0027339
LDECv5g10389	FBgn0030049
LDECv5g10503	FBgn0086361
LDECv5g10818	FBgn0030778
LDECv5g10921	FBgn0030183
LDECv5g11186	FBgn0029067
LDECv5g11323	FBgn0029930
LDECv5g11337	FBgn0086913
LDECv5g11360	FBgn0032147
LDECv5g11538	FBgn0262870
LDECv5g11637	FBgn0263607
LDECv5g11703	FBgn0261243
LDECv5g12268	FBgn0259984
LDECv5g12316	FBgn0039770
LDECv5g12548	FBgn0051719
LDECv5g12938	FBgn0004244
LDECv5g12950	FBgn0016081
LDECv5g13303	FBgn0028527
LDECv5g13320	FBgn0038721
LDECv5g13374	FBgn0034049
LDECv5g13519	FBgn0260941
LDECv5g13740	FBgn0001248
LDECv5g14670	FBgn0000464
LDECv5g15114	FBgn0261641
LDECv5g00263	FBgn0265595
LDECv5g00301	FBgn0034504
LDECv5g00322	FBgn0266756
LDECv5g00402	FBgn0040068
LDECv5g00445	FBgn0004842
LDECv5g00604	FBgn0004514
LDECv5g00955	FBgn0034275
LDECv5g00960	FBgn0260388
LDECv5g00970	FBgn0004456
LDECv5g01298	FBgn0040271
LDECv5g01323	FBgn0264743
LDECv5g01406	FBgn0261793
LDECv5g01545	FBgn0001145
LDECv5g01546	FBgn0016920
LDECv5g01651	FBgn0033402
LDECv5g01832	FBgn0051522
LDECv5g09053	FBgn0030151
LDECv5g01839	FBgn0030151
LDECv5g02292	FBgn0038984
LDECv5g02322	FBgn0058263
LDECv5g02354	FBgn0038402
LDECv5g02356	FBgn0259212
LDECv5g02393	FBgn0285913
LDECv5g02423	FBgn0031730
LDECv5g02528	FBgn0040397
LDECv5g02599	FBgn0034611
LDECv5g02786	FBgn0026181
LDECv5g02787	FBgn0003187
LDECv5g02844	FBgn0000308
LDECv5g02893	FBgn0000319
LDECv5g02933	FBgn0040056
LDECv5g02960	FBgn0003068
LDECv5g03057	FBgn0040805
LDECv5g03408	FBgn0037541
LDECv5g03456	FBgn0010225
LDECv5g03468	FBgn0014141
LDECv5g03509	FBgn0026401
LDECv5g03519	FBgn0262562
LDECv5g03534	FBgn0004636
LDECv5g03692	FBgn0261618
LDECv5g03814	FBgn0037655
LDECv5g03920	FBgn0039994
LDECv5g03988	FBgn0024811
LDECv5g04095	FBgn0036732
LDECv5g04235	FBgn0036272
LDECv5g04252	FBgn0032170
LDECv5g04318	FBgn0023540
LDECv5g04401	FBgn0032618
LDECv5g04434	FBgn0033166
LDECv5g04578	FBgn0004179
LDECv5g04634	FBgn0032120
LDECv5g04678	FBgn0025633
LDECv5g04691	FBgn0052675
LDECv5g04870	FBgn0027515
LDECv5g04884	FBgn0031998
LDECv5g04902	FBgn0085386
LDECv5g04948	FBgn0032129
LDECv5g05110	FBgn0026059
LDECv5g05159	FBgn0042085
LDECv5g05164	FBgn0037092
LDECv5g05302	FBgn0043841
LDECv5g05320	FBgn0000108
LDECv5g05398	FBgn0027348
LDECv5g05426	FBgn0250816
LDECv5g05523	FBgn0263216
LDECv5g05577	FBgn0023526
LDECv5g05578	FBgn0000535
LDECv5g05762	FBgn0002174
LDECv5g05929	FBgn0051004
LDECv5g06048	FBgn0004370
LDECv5g06089	FBgn0044323
LDECv5g06568	FBgn0051814
LDECv5g06584	FBgn0010303
LDECv5g06711	FBgn0262738
LDECv5g06716	FBgn0000251
LDECv5g06891	FBgn0032172
LDECv5g07086	FBgn0041630
LDECv5g07127	FBgn0050389
LDECv5g07145	FBgn0004363
LDECv5g07303	FBgn0022382
LDECv5g07358	FBgn0263397
LDECv5g07432	FBgn0032084
LDECv5g07502	FBgn0037215
LDECv5g07514	FBgn0039600
LDECv5g07526	FBgn0034903
LDECv5g07539	FBgn0024734
LDECv5g07587	FBgn0011288
LDECv5g07721	FBgn0036821
LDECv5g07739	FBgn0004395
LDECv5g07746	FBgn0267252
LDECv5g07845	FBgn0041781
LDECv5g07980	FBgn0037703
LDECv5g08136	FBgn0039157
LDECv5g08145	FBgn0039637
LDECv5g08146	FBgn0000259
LDECv5g08169	FBgn0266410
LDECv5g08507	FBgn0035348
LDECv5g08550	FBgn0085370
LDECv5g08636	FBgn0053129
LDECv5g08769	FBgn0010762
LDECv5g08824	FBgn0086784
LDECv5g08848	FBgn0033579
LDECv5g08851	FBgn0039214
LDECv5g08869	FBgn0039282
LDECv5g09414	FBgn0031850
LDECv5g09415	FBgn0026439
LDECv5g09462	FBgn0050011
LDECv5g09482	FBgn0027492
LDECv5g09570	FBgn0010355
LDECv5g09640	FBgn0003071
LDECv5g09837	FBgn0000083
LDECv5g10047	FBgn0034400
LDECv5g10472	FBgn0261953
LDECv5g10599	FBgn0264753
LDECv5g10833	FBgn0015402
LDECv5g11057	FBgn0034417
LDECv5g11131	FBgn0261854
LDECv5g11171	FBgn0023536
LDECv5g11220	FBgn0032775
LDECv5g11234	FBgn0051523
LDECv5g11275	FBgn0260439
LDECv5g11724	FBgn0261041
LDECv5g12503	FBgn0023518
LDECv5g12505	FBgn0051064
LDECv5g12528	FBgn0285926
LDECv5g12655	FBgn0034433
LDECv5g12716	FBgn0025692
LDECv5g12720	FBgn0004870
LDECv5g12721	FBgn0050021
LDECv5g12794	FBgn0032721
LDECv5g12807	FBgn0027657
LDECv5g12952	FBgn0043792
LDECv5g13036	FBgn0016078
LDECv5g13243	FBgn0039916
LDECv5g13236	FBgn0039927
LDECv5g13289	FBgn0031673
LDECv5g13512	FBgn0087035
LDECv5g13578	FBgn0000152
LDECv5g13759	FBgn0262872
LDECv5g13848	FBgn0040780
LDECv5g13859	FBgn0027835
LDECv5g13953	FBgn0265356
LDECv5g14106	FBgn0260936
LDECv5g14227	FBgn0020496
LDECv5g14261	FBgn0039140
LDECv5g14271	FBgn0020385
LDECv5g14660	FBgn0036515
LDECv5g14689	FBgn0037536
LDECv5g14699	FBgn0015777
LDECv5g14931	FBgn0038143
LDECv5g15027	FBgn0004882
LDECv5g15287	FBgn0025391
LDECv5g15323	FBgn0039705
LDECv5g15449	FBgn0003254
LDECv5g00007	FBgn0004169
LDECv5g00259	FBgn0052816
LDECv5g00274	FBgn0030412
LDECv5g00320	FBgn0038197
LDECv5g00359	FBgn0003656
LDECv5g00512	FBgn0030114
LDECv5g00562	FBgn0003969
LDECv5g00752	FBgn0022153
LDECv5g00816	FBgn0010197
LDECv5g00953	FBgn0036240
LDECv5g00980	FBgn0263846
LDECv5g01031	FBgn0041184
LDECv5g01044	FBgn0004401
LDECv5g01189	FBgn0267828
LDECv5g01212	FBgn0028494
LDECv5g01290	FBgn0039969
LDECv5g01353	FBgn0032586
LDECv5g01457	FBgn0038610
LDECv5g01477	FBgn0041585
LDECv5g01538	FBgn0031702
LDECv5g01563	FBgn0032297
LDECv5g01742	FBgn0029157
LDECv5g01740	FBgn0039260
LDECv5g01840	FBgn0020378
LDECv5g01866	FBgn0263987
LDECv5g01913	FBgn0286203
LDECv5g02048	FBgn0264324
LDECv5g02216	FBgn0038744
LDECv5g02317	FBgn0036875
LDECv5g02389	FBgn0030745
LDECv5g02414	FBgn0003353
LDECv5g02501	FBgn0023177
LDECv5g02559	FBgn0259171
LDECv5g02580	FBgn0050045
LDECv5g02634	FBgn0036623
LDECv5g02898	FBgn0052137
LDECv5g02919	FBgn0031968
LDECv5g02990	FBgn0034931
LDECv5g03002	FBgn0034261
LDECv5g03036	FBgn0000479
LDECv5g03060	FBgn0000565
LDECv5g03140	FBgn0013469
LDECv5g03147	FBgn0053523
LDECv5g03155	FBgn0030603
LDECv5g03238	FBgn0025836
LDECv5g03245	FBgn0259712
LDECv5g03281	FBgn0038890
LDECv5g03341	FBgn0036557
LDECv5g03348	FBgn0024249
LDECv5g03350	FBgn0003270
LDECv5g03405	FBgn0004509
LDECv5g03424	FBgn0085638
LDECv5g03452	FBgn0015269
LDECv5g03494	FBgn0053653
LDECv5g03510	FBgn0051019
LDECv5g03512	FBgn0028703
LDECv5g03570	FBgn0029897
LDECv5g03591	FBgn0039904
LDECv5g03680	FBgn0015239
LDECv5g03807	FBgn0037391
LDECv5g03817	FBgn0052647
LDECv5g03880	FBgn0030701
LDECv5g03893	FBgn0038659
LDECv5g03940	FBgn0039489
LDECv5g03983	FBgn0031759
LDECv5g03984	FBgn0035103
LDECv5g03991	FBgn0033996
LDECv5g03992	FBgn0020622
LDECv5g04039	FBgn0260799
LDECv5g04051	FBgn0033188
LDECv5g04060	FBgn0038693
LDECv5g04124	FBgn0000116
LDECv5g04143	FBgn0262743
LDECv5g04236	FBgn0010435
LDECv5g04261	FBgn0262103
LDECv5g04325	FBgn0261565
LDECv5g04483	FBgn0032821
LDECv5g04488	FBgn0037659
LDECv5g04504	FBgn0004198
LDECv5g04581	FBgn0039890
LDECv5g04606	FBgn0034985
LDECv5g04644	FBgn0025936
LDECv5g04721	FBgn0037623
LDECv5g04725	FBgn0039925
LDECv5g04857	FBgn0087012
LDECv5g04929	FBgn0083975
LDECv5g04962	FBgn0020251
LDECv5g05048	FBgn0037906
LDECv5g05054	FBgn0000064
LDECv5g05067	FBgn0001105
LDECv5g05127	FBgn0032783
LDECv5g05324	FBgn0040395
LDECv5g05379	FBgn0015924
LDECv5g05440	FBgn0036285
LDECv5g05470	FBgn0286511
LDECv5g05559	FBgn0030809
LDECv5g05755	FBgn0034974
LDECv5g05914	FBgn0010412
LDECv5g05923	FBgn0035104
LDECv5g05976	FBgn0260659
LDECv5g06041	FBgn0029903
LDECv5g06102	FBgn0036279
LDECv5g06121	FBgn0032923
LDECv5g06149	FBgn0035207
LDECv5g06238	FBgn0035001
LDECv5g06279	FBgn0035719
LDECv5g06436	FBgn0026761
LDECv5g06508	FBgn0035936
LDECv5g06516	FBgn0037956
LDECv5g06579	FBgn0264493
LDECv5g06659	FBgn0085470
LDECv5g06747	FBgn0263512
LDECv5g06782	FBgn0010379
LDECv5g06872	FBgn0031384
LDECv5g06947	FBgn0005659
LDECv5g06991	FBgn0035287
LDECv5g07014	FBgn0261985
LDECv5g07071	FBgn0020445
LDECv5g07091	FBgn0028982
LDECv5g07204	FBgn0050463
LDECv5g07216	FBgn0040212
LDECv5g07270	FBgn0287187
LDECv5g07295	FBgn0031737
LDECv5g15364	FBgn0026077
LDECv5g07310	FBgn0005649
LDECv5g07475	FBgn0038602
LDECv5g07506	FBgn0039338
LDECv5g07639	FBgn0034389
LDECv5g07701	FBgn0036318
LDECv5g07744	FBgn0259233
LDECv5g07904	FBgn0039465
LDECv5g07942	FBgn0030520
LDECv5g08059	FBgn0015778
LDECv5g08064	FBgn0001128
LDECv5g08142	FBgn0284435
LDECv5g08344	FBgn0040297
LDECv5g08373	FBgn0043070
LDECv5g08379	FBgn0010470
LDECv5g08385	FBgn0085432
LDECv5g08597	FBgn0001218
LDECv5g08633	FBgn0034408
LDECv5g08771	FBgn0017578
LDECv5g08813	FBgn0044452
LDECv5g08931	FBgn0025595
LDECv5g08992	FBgn0025777
LDECv5g09200	FBgn0265194
LDECv5g09422	FBgn0027588
LDECv5g09440	FBgn0262871
LDECv5g09481	FBgn0033538
LDECv5g09496	FBgn0263352
LDECv5g09667	FBgn0033872
LDECv5g09716	FBgn0033212
LDECv5g09851	FBgn0027556
LDECv5g09875	FBgn0036142
LDECv5g09916	FBgn0046247
LDECv5g09925	FBgn0052179
LDECv5g09931	FBgn0085382
LDECv5g10007	FBgn0001078
LDECv5g10288	FBgn0023081
LDECv5g10293	FBgn0263076
LDECv5g10309	FBgn0028474
LDECv5g10319	FBgn0034797
LDECv5g10351	FBgn0039137
LDECv5g10378	FBgn0023510
LDECv5g10462	FBgn0000320
LDECv5g10542	FBgn0040324
LDECv5g10614	FBgn0034286
LDECv5g10786	FBgn0083971
LDECv5g11066	FBgn0036059
LDECv5g11135	FBgn0061515
LDECv5g11173	FBgn0034618
LDECv5g11180	FBgn0039254
LDECv5g11240	FBgn0033799
LDECv5g11243	FBgn0029870
LDECv5g11283	FBgn0259178
LDECv5g11351	FBgn0039958
LDECv5g11444	FBgn0030309
LDECv5g11629	FBgn0029907
LDECv5g11722	FBgn0010611
LDECv5g12210	FBgn0266758
LDECv5g12258	FBgn0034093
LDECv5g12298	FBgn0034971
LDECv5g12340	FBgn0036428
LDECv5g12416	FBgn0002938
LDECv5g12469	FBgn0004646
LDECv5g12506	FBgn0021738
LDECv5g12601	FBgn0052669
LDECv5g12612	FBgn0020912
LDECv5g12670	FBgn0266465
LDECv5g12717	FBgn0003514
LDECv5g13069	FBgn0034068
LDECv5g13187	FBgn0032801
LDECv5g13261	FBgn0037720
LDECv5g13323	FBgn0037363
LDECv5g13345	FBgn0038400
LDECv5g13350	FBgn0016038
LDECv5g13429	FBgn0036510
LDECv5g13461	FBgn0267698
LDECv5g13497	FBgn0022709
LDECv5g13514	FBgn0028421
LDECv5g13577	FBgn0032666
LDECv5g13640	FBgn0027570
LDECv5g13651	FBgn0022160
LDECv5g13661	FBgn0035245
LDECv5g13727	FBgn0082598
LDECv5g13758	FBgn0260470
LDECv5g13766	FBgn0261547
LDECv5g14091	FBgn0261934
LDECv5g14269	FBgn0027567
LDECv5g14294	FBgn0011828
LDECv5g14315	FBgn0041605
LDECv5g14679	FBgn0024273
LDECv5g14698	FBgn0030056
LDECv5g14950	FBgn0003339
LDECv5g15113	FBgn0038816
LDECv5g15145	FBgn0031039
LDECv5g15264	FBgn0004611
LDECv5g15280	FBgn0015278
LDECv5g15424	FBgn0040294
LDECv5g00024	FBgn0037942
LDECv5g00062	FBgn0014026
LDECv5g00208	FBgn0029791
LDECv5g00216	FBgn0010482
LDECv5g00247	FBgn0037546
LDECv5g00362	FBgn0259139
LDECv5g00538	FBgn0261239
LDECv5g00595	FBgn0010602
LDECv5g00637	FBgn0250789
LDECv5g00640	FBgn0034249
LDECv5g00652	FBgn0034598
LDECv5g00653	FBgn0053100
LDECv5g00718	FBgn0004638
LDECv5g00730	FBgn0086129
LDECv5g00859	FBgn0284248
LDECv5g00903	FBgn0053639
LDECv5g00959	FBgn0032363
LDECv5g00976	FBgn0262599
LDECv5g00977	FBgn0031245
LDECv5g01012	FBgn0020655
LDECv5g01045	FBgn0011826
LDECv5g01125	FBgn0028325
LDECv5g01170	FBgn0031897
LDECv5g01192	FBgn0259175
LDECv5g01196	FBgn0261648
LDECv5g01294	FBgn0267350
LDECv5g01488	FBgn0031495
LDECv5g01568	FBgn0020306
LDECv5g01574	FBgn0259173
LDECv5g01610	FBgn0039594
LDECv5g01649	FBgn0028408
LDECv5g01756	FBgn0028563
LDECv5g01845	FBgn0020255
LDECv5g01893	FBgn0261278
LDECv5g01973	FBgn0038983
LDECv5g02035	FBgn0003256
LDECv5g02041	FBgn0010504
LDECv5g02047	FBgn0032886
LDECv5g02077	FBgn0058191
LDECv5g02128	FBgn0036369
LDECv5g02260	FBgn0034396
LDECv5g02278	FBgn0037138
LDECv5g02374	FBgn0036663
LDECv5g02375	FBgn0035772
LDECv5g02481	FBgn0262734
LDECv5g02491	FBgn0030590
LDECv5g10409	FBgn0038550
LDECv5g02807	FBgn0020261
LDECv5g07241	FBgn0267433
LDECv5g02871	FBgn0013812
LDECv5g02989	FBgn0053531
LDECv5g03011	FBgn0037239
LDECv5g03014	FBgn0029830
LDECv5g03021	FBgn0036844
LDECv5g03059	FBgn0036801
LDECv5g03150	FBgn0011300
LDECv5g03258	FBgn0042138
LDECv5g03301	FBgn0040340
LDECv5g03320	FBgn0259143
LDECv5g03370	FBgn0000459
LDECv5g03376	FBgn0263256
LDECv5g03379	FBgn0039858
LDECv5g03413	FBgn0013750
LDECv5g03427	FBgn0039738
LDECv5g03450	FBgn0031057
LDECv5g03467	FBgn0001987
LDECv5g03503	FBgn0267390
LDECv5g03511	FBgn0086675
LDECv5g03521	FBgn0053096
LDECv5g03538	FBgn0039358
LDECv5g03608	FBgn0028996
LDECv5g03616	FBgn0029095
LDECv5g03654	FBgn0024183
LDECv5g03708	FBgn0262057
LDECv5g03723	FBgn0024941
LDECv5g03760	FBgn0039379
LDECv5g03781	FBgn0260386
LDECv5g03806	FBgn0020370
LDECv5g03809	FBgn0038181
LDECv5g03825	FBgn0034718
LDECv5g03837	FBgn0000463
LDECv5g03839	FBgn0013987
LDECv5g03881	FBgn0000927
LDECv5g03887	FBgn0263986
LDECv5g03944	FBgn0010389
LDECv5g03996	FBgn0019968
LDECv5g04000	FBgn0034951
LDECv5g04010	FBgn0052112
LDECv5g04031	FBgn0003862
LDECv5g04040	FBgn0011481
LDECv5g04049	FBgn0032683
LDECv5g04066	FBgn0038098
LDECv5g04089	FBgn0035437
LDECv5g04104	FBgn0000173
LDECv5g04113	FBgn0264495
LDECv5g04214	FBgn0037262
LDECv5g04217	FBgn0036913
LDECv5g04317	FBgn0000382
LDECv5g04322	FBgn0037137
